Entry_ID,Start_Year,Start_Date,End_Year,End_Date,Display_Date,Era,Track,Geography,Organization,Event_Title,Description_Verified,Why_It_Matters,Impact_on_Interpreting,Impact_on_Deaf_Lives,Social_Justice_Context,Gap_or_Tension,Source_1,Source_2,Source_Type,Verification_Status,Public_Timeline_Priority,Notes_For_Expansion,Suggested_Image_Search
TL001,1880,1880-08-25,,,1880-08-25,Foundations & exclusion,Deaf-led advocacy,United States,NAD,First national convention; NAD founded,"The first national convention of deaf people was held on August 25, 1880, and Robert P. McGregor was elected president of the National Association of the Deaf.",Establishes a Deaf-led national advocacy structure in the U.S. long before the formal professionalization of sign language interpreting.,"Creates the Deaf-led policy and community context that later shaped interpreter ethics, accountability, and certification debates.","Creates a national platform for civil, linguistic, and political advocacy by deaf people.",Post-Reconstruction nation-building; organized rights movements increasingly relied on national associations.,Interpreter history is often told without centering Deaf-led organizing that predates RID and CIT.,https://www.nad.org/about-us/nad-history/,https://www.nad.org/resources/civil-rights-laws/,Official organization pages,Verified,High,Could add early NAD presidents and convention sites later.,early NAD convention; Robert P. McGregor; NAD historical materials
TL002,1880,1880-09-06,,,1880-09-06 to 1880-09-11,Foundations & exclusion,Deaf education / social context,International,ICED / Deaf education,Milan Congress advances oralism over sign language,The 1880 Milan Congress passed resolutions asserting oral education over sign language in deaf education; later Deaf-led and educational bodies explicitly rejected those resolutions.,This event is a major marker of the historical suppression of sign language in education and a key source of later gaps and harms in deaf lives and interpreter development.,Interpreter development cannot be separated from the long-term consequences of language suppression and exclusion of deaf teachers and sign language from schools.,"Associated with sign language devaluation, language deprivation, and exclusion of deaf professionals from classrooms.",Illustrates how expert/educator control over marginalized communities can shape policy for generations.,Students often learn later interpreting history without understanding how oralism shaped the field’s missing pieces.,https://wfdeaf.org/unesco-1880/,https://gallaudet.edu/university-communications/rejection-of-iced-milan-decision-embraced-by-president-hurwitz-other-deaf-educators-and-leaders/,Official organization pages,Verified,High,Could later add 2010 Vancouver repudiation and 2025 joint declaration as linked follow-up events.,Milan Congress 1880; oralism; UNESCO Memory of the World Milan Congress
TL003,1904,,,,1904,Foundations & exclusion,Deaf-led advocacy,United States,NAD,George Veditz elected NAD president; sign language preservation emphasis,"At the 1904 NAD convention, George Veditz was elected president and urged preservation of sign language.",Veditz becomes a central figure in linking Deaf self-determination and sign language preservation.,"Later interpreting ethics and practice depend on sign language being recognized and preserved as language, not treated as a lesser substitute.",Supports the cultural and linguistic legitimacy of Deaf communities.,Language rights and minority cultural preservation became recurring themes across multiple communities in the twentieth century.,"Sign language preservation is often treated as separate from interpreter history, but it is foundational to it.",https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Can later link to Veditz films and preservation efforts.,George Veditz; Veditz preservation sign language
TL004,1910,,,,1910,Foundations & exclusion,Law / employment rights,United States,NAD / federal government,Taft directs removal of federal civil-service barriers for deaf workers,In 1910 President Taft instructed the U.S. Civil Service Commission to remove discriminatory barriers to federal employment for deaf workers.,Shows that Deaf civil-rights advocacy predates disability rights legislation by decades.,Employment access needs later help drive demand for interpreters and communication access in workplaces.,Expands access to federal employment and reframes deafness away from absolute exclusion.,Part of the longer struggle over access to employment and state institutions.,Interpreter timelines often begin too late and miss early Deaf labor-rights victories.,https://www.nad.org/about-us/nad-history/,https://www.nad.org/resources/civil-rights-laws/,Official organization pages,Verified,Medium,Could later pair with employment discrimination milestones.,federal employment deaf history; President Taft civil service deaf
TL005,1920,1920-08-18,,,1920-08-18,Foundations & exclusion,Social justice context,United States,U.S. women’s movement,19th Amendment ratified,"The 19th Amendment was ratified in 1920, prohibiting denial of the vote on the basis of sex.",Useful context row for helping students locate Deaf and interpreting history within broader struggles over political inclusion.,Indirect context; helps frame how the field developed during overlapping fights over political access and representation.,"Provides broader context for participation, though access remained unequal across disability, race, and class.",Women’s suffrage movement.,Voting rights on paper did not equal full access for all women or disabled people.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.archives.gov/milestone-documents/19th-amendment,Secondary timeline + official U.S. archive,Verified,Low,Useful if you want a broader justice layer beginning before mid-century.,19th amendment suffrage 1920
TL006,1920,,,,1920,Foundations & exclusion,Deaf-led advocacy,United States,NAD,NAD adopts resolution defending sign language,"At the 1920 NAD convention, members adopted a resolution calling for defense of sign language.",Demonstrates that Deaf communities were explicitly defending sign language decades before its later linguistic recognition in academic work.,Interpreting practice depends on the status and continued use of sign language; this row helps students see the long fight over language legitimacy.,Affirms sign language as central to communication and community life.,Language rights and cultural self-determination.,Students often misread ASL recognition as beginning only with Stokoe instead of as also rooted in Deaf advocacy.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Can later connect to 1960/1965 Stokoe milestones.,NAD sign language resolution; NAD historical meeting
TL007,1948,,,,1948,Postwar organizing & early professional identity,Interpreter education,United States,Interpreter education,Interpreter education roots identified at Central Bible Institute,"A CIT-hosted review of Carolyn Ball’s history states that interpreter education in the United States began in 1948 at Central Bible Institute in Springfield, Missouri.",Provides an early anchor for interpreter education before RID and before later federal and professional structures.,Shows interpreter preparation did not begin with RID; education roots precede professional association structures.,"Early training efforts helped create a base for later access, even if those roots were uneven and not fully Deaf-centered.","Postwar expansion of training, religious education, and social-service infrastructures.",This is an important early milestone but often absent from simplified timelines.,https://citsl.org/book-review-legacies-and-legends-history-of-interpreter-education-from-1800-to-the-21st-century-by-carolyn-ball/,,Organization-hosted secondary source,Verified (secondary),Medium,"Could later add people named in the review (Lottie Riekehof, William Stokoe, Boyce Williams).",Central Bible Institute interpreter education Springfield Missouri
TL008,1948,1948-12-10,,,1948-12-10,Postwar organizing & early professional identity,Social justice context,International,United Nations,Universal Declaration of Human Rights adopted,The United Nations adopted the Universal Declaration of Human Rights in 1948.,Useful international human-rights anchor for later Deaf rights and sign-language rights frameworks.,Provides a broader rights lens for later framing signed language access as a human-rights issue.,Helps contextualize later disability and Deaf-rights advocacy within international human-rights discourse.,Post-WWII human-rights framework.,Human-rights language did not automatically produce communication access in practice.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.un.org/en/about-us/universal-declaration-of-human-rights,Secondary timeline + official UN page,Verified,Low,Optional depending on how global/human-rights focused the final visual becomes.,Universal Declaration of Human Rights 1948
TL009,1951,1951-09-23,,,1951-09-23,Postwar organizing & early professional identity,International Deaf leadership,International,WFD,World Federation of the Deaf founded in Rome,"The World Federation of the Deaf was founded on 23 September 1951 in Rome, Italy, following the first World Congress of delegates from 25 national deaf associations.","Creates the major international Deaf-led federation that later intersects with interpreting, sign-language rights, and global advocacy.",Provides the Deaf-led global context within which later interpreter organizations such as WASLI emerge.,Builds international Deaf advocacy capacity and representation at the UN and other global forums.,Postwar international institution-building and rights discourse.,Interpreting timelines often underplay Deaf-led global institutions.,https://wfdeaf.org/our-story/,,Official organization page,Verified,High,Could later add WFD presidents and major WFD congresses.,World Federation of the Deaf 1951 Rome
TL010,1954,1954-05-17,,,1954-05-17,Postwar organizing & early professional identity,Social justice context,United States,U.S. civil rights movement,Brown v. Board of Education,"In Brown v. Board of Education, the U.S. Supreme Court held that separate public schools for Black and white students were unconstitutional.","A key civil-rights context row for thinking about segregation, educational access, and later disability-rights and Deaf-rights struggles.",Indirect but powerful context for how educational access and equality debates shaped later expectations for inclusion and support services.,"Helps frame later legal arguments over equality, segregation, and educational rights.",Civil Rights Movement.,Formal desegregation and formal rights did not automatically transform educational quality or access.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.archives.gov/milestone-documents/brown-v-board-of-education,Secondary timeline + official U.S. archive,Verified,Low,Useful to help students see overlapping rights movements.,Brown v Board 1954
